ID,class
13,democrat
393,republican
163,democrat
57,republican
148,democrat
423,democrat
130,democrat
86,democrat
228,democrat
388,democrat
10,democrat
308,democrat
303,republican
336,republican
322,democrat
226,republican
194,democrat
32,democrat
371,democrat
180,democrat
187,democrat
177,republican
400,republican
146,democrat
372,democrat
241,republican
7,republican
327,republican
155,republican
123,republican
410,republican
334,democrat
2,republican
253,democrat
296,republican
4,democrat
20,democrat
126,republican
77,democrat
290,democrat
275,republican
234,republican
93,democrat
46,democrat
31,republican
45,democrat
281,democrat
162,democrat
69,democrat
199,democrat
268,democrat
182,democrat
59,republican
229,republican
422,democrat
381,democrat
355,democrat
271,democrat
125,democrat
64,democrat
117,democrat
274,republican
425,democrat
149,republican
165,democrat
58,republican
378,republican
266,democrat
17,democrat
240,republican
233,democrat
166,democrat
73,democrat
428,republican
289,democrat
375,republican
409,democrat
433,republican
260,democrat
90,republican
24,democrat
170,democrat
101,democrat
377,democrat
81,democrat
159,republican
186,democrat
412,democrat
417,republican
427,democrat
141,republican
189,republican
193,democrat
37,republican
87,republican
225,republican
147,republican
48,democrat
42,democrat
221,democrat
230,republican
191,republican
264,democrat
318,democrat
195,democrat
91,democrat
256,democrat
419,democrat
309,republican
169,republican
353,republican
369,democrat
373,republican
89,democrat
384,democrat
54,republican
78,republican
172,republican
84,republican
231,republican
341,republican
402,republican
351,democrat
391,democrat
107,republican
236,republican
263,democrat
415,democrat
262,democrat
387,democrat
385,republican
122,republican
118,republican
356,republican
364,republican
267,republican
305,republican
29,republican
349,democrat
124,republican
72,republican
320,democrat
140,democrat
183,democrat
249,democrat
404,republican
257,republican
335,democrat
60,republican
279,republican
333,democrat
311,republican
103,democrat
435,republican
326,democrat
261,democrat
284,republican
79,democrat
82,democrat
370,republican
160,democrat
324,democrat
312,democrat
337,democrat
254,republican
361,democrat
248,republican
53,democrat
74,republican
358,republican
174,democrat
325,republican
259,democrat
67,republican
245,democrat
12,republican
14,democrat
40,democrat
380,republican
403,republican
269,democrat
43,democrat
270,democrat
244,democrat
329,democrat
430,democrat
200,democrat
30,democrat
243,democrat
331,republican
299,democrat
18,democrat
168,republican
255,democrat
204,democrat
413,republican
258,republican
247,democrat
75,democrat
106,democrat
151,republican
96,democrat
129,democrat
338,democrat
288,democrat
112,republican
49,democrat
102,democrat
208,republican
294,democrat
310,democrat
242,democrat
359,democrat
128,democrat
27,democrat
119,democrat
133,republican
